Market_ID,Market_Name,Is_Organic,Is_Baked_Goods,Is_Cheese,Is_Crafts,Is_Flowers,Is_Eggs,Is_Seafood,Is_Herbs,Is_Vegetables,Is_Honey,Is_Jams,Is_Maple,Is_Meat,Is_Nursery,Is_Nuts,Is_Plants,Is_Poultry,Is_Prepared,Is_Soap,Is_Trees,Is_Wine,Is_Coffee,Is_Beans,Is_Fruits,Is_Grains,Is_Juices,Is_Mushrooms,Is_Pet_Food,Is_Tofu,Is_Wild_Harvested
1018261, Caledonia Farmers Market Association - Danville,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,False
1009994,18th Street Farmer's Market,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False
1000709,26th Annual Highlands Business Partnership's Farmers Market,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
1019956,29 Palms Farmers' Market,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False
1009959,2nd Street Market - Five Rivers MetroPark,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True
1004950,3 French Hens French Country Market,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False
1019938,3rd Day Farmer's Market,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True
1021607,4 Veggies & 3 Fruits Farmer’s Market,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1018965,61st Street Farmers Market,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False
1009004,A Growers' Market,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
1019473,Aberdeen Sunday Market,False,True,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False,False
1010487,Abingdon Farmers Market,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True
1019695,Abita Springs Art & Farmers Market ,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True
1021442,Adams County Farmer's Market,False,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False
1019676,Adams County Farmers Market,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,False,False,True,False,False
1019351,Adams County Farmers' Market Association,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False
1019847,Adams-Ricci Farmers Market,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False
1008961,Adaptations' Fresh Feast,True,True,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
1019203,AG Farmers' Market,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False
1012233,Agricenter International Farmer's Market,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False
